n_qubits,state_model,first_crossing_density,delta_from_uniform,ratio_to_uniform,perturbation_amplitude,perturbation_frequency,phase_relaxation_steps_mean,torsion_hysteresis_mean,volatility_index_mean,volatility_index_max,catastrophic_unraveling_amplitude,spread_min,spread_max,spread,crossing_seed_count,density_threshold,wall_runtime_ms
4,uniform-random,0.12,,,0.6,42.0,44.666667,0.193387,0.415949,0.521695,0.6,0.12,0.12,0.0,2,0.12,38.635693
4,uniform-random,0.12,,,0.0,44.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,40.8304
4,uniform-random,0.12,,,0.2,44.0,14.0,0.058303,0.126653,0.1658,0.2,0.12,0.12,0.0,2,0.12,36.598008
4,uniform-random,0.12,,,0.6,44.0,40.5,0.174909,0.376442,0.495056,0.6,0.12,0.12,0.0,2,0.12,38.088102
4,uniform-random,0.12,,,0.0,46.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,43.846925
4,uniform-random,0.12,,,0.2,46.0,15.833333,0.067316,0.145455,0.173856,0.2,0.12,0.12,0.0,2,0.12,45.882715
4,uniform-random,0.12,,,0.6,46.0,46.833333,0.201946,0.434802,0.519224,0.6,0.12,0.12,0.0,2,0.12,41.609817
4,uniform-random,0.12,,,0.0,48.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,31.583142
4,uniform-random,0.12,,,0.2,48.0,14.5,0.061126,0.132367,0.16555,0.2,0.12,0.12,0.0,2,0.12,46.209005
4,uniform-random,0.12,,,0.6,48.0,42.333333,0.183377,0.394367,0.494307,0.6,0.12,0.12,0.0,2,0.12,46.334567
4,uniform-random,0.12,,,0.0,50.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,39.800332
4,uniform-random,0.12,,,0.2,50.0,18.0,0.077449,0.166844,0.168649,0.2,0.12,0.12,0.0,2,0.12,38.118164
4,uniform-random,0.12,,,0.6,50.0,53.333333,0.232347,0.498968,0.505946,0.6,0.12,0.12,0.0,2,0.12,43.231857
4,uniform-random,0.12,,,0.0,52.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,40.554072
4,uniform-random,0.12,,,0.2,52.0,12.833333,0.05342,0.11606,0.168888,0.2,0.12,0.12,0.0,2,0.12,44.270889
4,uniform-random,0.12,,,0.6,52.0,37.166667,0.160261,0.345053,0.506663,0.6,0.12,0.12,0.0,2,0.12,40.723119
4,uniform-random,0.12,,,0.0,54.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,42.079301
4,uniform-random,0.12,,,0.2,54.0,15.833333,0.066808,0.144638,0.167316,0.2,0.12,0.12,0.0,2,0.12,31.73643
4,uniform-random,0.12,,,0.6,54.0,46.5,0.200422,0.431569,0.501947,0.6,0.12,0.12,0.0,2,0.12,33.014385
4,uniform-random,0.12,,,0.0,56.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,32.855128
4,uniform-random,0.12,,,0.2,56.0,13.833333,0.058402,0.126422,0.168377,0.2,0.12,0.12,0.0,2,0.12,39.156741
4,uniform-random,0.12,,,0.6,56.0,40.5,0.175207,0.376921,0.50513,0.6,0.12,0.12,0.0,2,0.12,38.491893
4,uniform-random,0.12,,,0.0,58.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,36.210317
4,uniform-random,0.12,,,0.2,58.0,16.5,0.069555,0.150622,0.173164,0.2,0.12,0.12,0.0,2,0.12,43.96485
4,uniform-random,0.12,,,0.6,58.0,48.166667,0.208665,0.448742,0.514804,0.6,0.12,0.12,0.0,2,0.12,44.064318
4,uniform-random,0.12,,,0.0,60.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,40.032831
4,uniform-random,0.12,,,0.2,60.0,16.666667,0.071318,0.153849,0.168435,0.2,0.12,0.12,0.0,2,0.12,37.318643
4,uniform-random,0.12,,,0.6,60.0,49.333333,0.213952,0.459986,0.505306,0.6,0.12,0.12,0.0,2,0.12,40.244472
4,uniform-random,0.12,,,0.0,62.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,41.809109
4,uniform-random,0.12,,,0.2,62.0,14.666667,0.061642,0.13359,0.17464,0.2,0.12,0.12,0.0,2,0.12,31.569836
4,uniform-random,0.12,,,0.6,62.0,42.833333,0.184927,0.398034,0.521576,0.6,0.12,0.12,0.0,2,0.12,41.519498
4,uniform-random,0.12,,,0.0,64.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,40.529732
4,uniform-random,0.12,,,0.2,64.0,15.0,0.063189,0.13686,0.166481,0.2,0.12,0.12,0.0,2,0.12,31.77402
4,uniform-random,0.12,,,0.6,64.0,43.833333,0.189566,0.407846,0.497099,0.6,0.12,0.12,0.0,2,0.12,45.52578
4,uniform-random,0.12,,,0.0,66.0,0.0,0.0,0.0,0.0,,0.12,0.12,0.0,2,0.12,48.879689
4,uniform-random,0.12,,,0.2,66.0,15.0,0.06359,0.137506,0.174064,0.2,0.12,0.12,0.0,2,0.12,51.363602
